2020-10-25 00:30:00,852 - root - INFO - ############################### START ###############################
2020-10-25 00:30:04,000 - root - INFO - SUCCESS    Start a new browser: Chrome, Spend 3.15 seconds
2020-10-25 00:30:06,123 - root - INFO - SUCCESS    Set browser window maximized, Spend 2.12 seconds
2020-10-25 00:30:07,939 - root - INFO - SUCCESS    Navigated to https://e.qq.com/, Spend 1.82 seconds
2020-10-25 00:30:07,981 - root - INFO - SUCCESS    Clicked element: <id->mlogin>, Spend 0.04 seconds
2020-10-25 00:30:24,119 - root - INFO - SUCCESS    Switch to frame element: <id->qqLoginFrame>, Spend 6.14 seconds
2020-10-25 00:30:25,145 - root - INFO - SUCCESS    Switch to frame element: <id->ptlogin_iframe>, Spend 0.03 seconds
2020-10-25 00:30:25,237 - root - INFO - SUCCESS    Clicked element: <id->img_out_2850069566>, Spend 0.09 seconds
2020-10-25 00:30:32,269 - root - INFO - SUCCESS    From js: <window.open('https://ad.qq.com/atlas/18034302/report/analytic?')> open a new window and swich into, Spend 2.03 seconds
2020-10-25 00:30:34,428 - root - INFO - SUCCESS    Clicked element: <xpath->//*[@id="content"]/div/div/div/div[2]/div[1]/div/div[1]/div[4]/div/div/div/button[2]>, Spend 2.16 seconds
2020-10-25 00:30:35,465 - root - INFO - SUCCESS    Get element text element: <xpath->//*[@id="table-id"]/div[2]/div/table/tfoot/tr/td[2]/div>, Spend 1.04 seconds,text:<0.75>
2020-10-25 00:30:35,489 - root - INFO - SUCCESS    Get element text element: <xpath->//*[@id="table-id"]/div[2]/div/table/tfoot/tr/td[7]/div>, Spend 0.02 seconds,text:<146>
2020-10-25 00:30:35,515 - root - INFO - SUCCESS    Get element text element: <xpath->//*[@id="table-id"]/div[2]/div/table/tfoot/tr/td[8]/div>, Spend 0.02 seconds,text:<1>
2020-10-25 00:30:35,538 - root - INFO - SUCCESS    Get element text element: <xpath->//*[@id="table-id"]/div[2]/div/table/tfoot/tr/td[3]/div>, Spend 0.02 seconds,text:<0>
